batter,Pitches,Swings,Whiffs,Contacts,FirstPitchSwings,FirstPitches,Swing%,Whiff%,Contact%,1stPitchSwing%
A Gardner,19,7,3,4,2,5,0.3684210526315789,0.4285714285714285,0.5714285714285714,0.4
D Benton,38,18,3,15,3,10,0.4736842105263157,0.1666666666666666,0.8333333333333334,0.3
D Palmer,27,5,0,5,1,7,0.1851851851851851,0.0,1.0,0.1428571428571428
E Mason,23,6,1,5,2,6,0.2608695652173913,0.1666666666666666,0.8333333333333334,0.3333333333333333
J Driver,25,14,1,13,3,7,0.56,0.0714285714285714,0.9285714285714286,0.4285714285714285
J Duffield,32,11,5,6,1,8,0.34375,0.4545454545454545,0.5454545454545454,0.125
J Fuentes,9,6,0,6,1,3,0.6666666666666666,0.0,1.0,0.3333333333333333
L Collier,25,11,2,9,4,7,0.44,0.1818181818181818,0.8181818181818182,0.5714285714285714
M Brantley,9,3,0,3,0,2,0.3333333333333333,0.0,1.0,0.0
R Johnston,25,9,0,9,1,8,0.36,0.0,1.0,0.125
W Dixon,27,11,5,6,0,7,0.4074074074074074,0.4545454545454545,0.5454545454545454,0.0
